crop,temperature,rainfall,humidity,soil_ph,nitrogen,phosphorus,potassium,irrigation_days,label
Turnip,10.29,927.34,40.58,6.32,158.04,55.17,126.6,8,1
Beans,18.57,1219.52,46.28,5.5,309.02,45.1,212.04,5,1
Cabbage,23.41,1105.27,40.0,6.45,473.82,62.41,292.63,7,1
Potato,16.19,1486.5,51.68,6.38,301.19,59.94,160.16,4,1
Beetroot,15.95,752.8,40.0,6.03,214.84,45.56,170.07,7,1
Peas,11.73,1091.83,44.28,6.39,254.13,77.28,138.21,4,1
Carrot,17.26,1480.15,49.8,6.17,222.65,32.48,202.73,6,0
Carrot,15.09,1108.96,53.31,6.73,205.88,38.12,155.64,6,1
Peas,14.47,1102.5,67.17,7.92,101.63,5.57,71.4,3,0
Beetroot,16.18,1107.85,40.0,6.96,299.61,63.64,178.41,4,1
Peas,16.45,1179.4,44.7,7.44,245.67,48.69,156.63,6,1
Carrot,19.15,1388.72,63.92,6.05,222.64,66.79,219.32,4,1
Cauliflower,19.47,988.41,40.0,5.91,464.11,74.89,257.91,6,0
Potato,14.66,1582.41,54.08,6.18,349.57,68.97,268.05,5,1
Turnip,15.78,976.45,46.35,6.15,284.5,59.45,125.85,7,1
Beetroot,21.32,1143.02,50.76,6.36,332.09,49.24,245.92,6,1
Beans,14.98,1054.78,40.0,6.49,288.32,56.76,199.35,5,1
Beans,17.33,1394.72,54.65,5.5,304.4,42.15,184.79,5,1
Carrot,20.32,1143.1,51.75,6.17,323.79,47.78,163.89,7,1
Cauliflower,17.52,1293.77,59.85,5.72,390.35,52.95,336.7,4,1
Beans,26.51,436.08,85.79,8.65,100.43,16.64,69.36,7,0
Turnip,12.06,792.05,40.0,6.03,179.45,52.61,190.0,9,1
Beans,14.73,869.94,42.35,6.24,213.39,38.77,216.56,6,1
Radish,11.06,743.91,40.0,5.56,189.85,43.89,188.5,9,1
Beans,24.28,2479.72,58.2,8.31,79.06,10.46,74.23,1,0
KnolKhol,20.21,1191.21,40.0,6.27,379.55,79.48,181.11,5,1
Peas,15.06,1155.54,43.72,6.97,248.18,52.67,150.79,8,0
Beetroot,20.14,861.81,40.0,6.44,201.14,68.34,154.89,5,1
Turnip,16.68,1446.06,84.32,8.71,98.78,14.31,86.46,11,0
Radish,29.51,2048.28,55.85,7.61,126.83,17.81,67.58,5,0
Potato,15.32,1611.5,58.65,5.82,371.63,68.96,273.43,2,1
Radish,14.75,822.89,40.0,5.82,151.26,55.23,150.65,6,1
Cauliflower,16.93,908.98,46.27,6.59,490.4,71.54,300.92,7,1
Radish,12.98,1161.03,50.56,6.34,262.72,57.53,159.65,6,1
Cabbage,22.69,1624.5,74.96,6.58,476.42,50.02,261.29,5,0
Potato,19.49,1469.86,60.72,6.26,390.51,62.87,156.46,6,1
Cabbage,17.39,1690.52,76.34,7.26,309.57,88.26,274.45,1,1
Beans,18.02,1416.7,63.24,6.39,251.01,32.49,172.49,3,1
Potato,16.45,1919.75,72.03,5.03,334.67,56.78,277.18,3,1
Radish,17.45,858.34,40.0,5.64,222.41,34.98,186.99,8,0
Turnip,15.94,693.67,40.0,6.98,196.99,30.81,193.36,7,1
Peas,16.63,881.8,44.54,6.04,186.63,47.03,172.21,5,1
Beetroot,17.71,961.79,41.75,6.8,221.87,52.73,208.3,5,0
KnolKhol,20.24,1094.64,46.03,6.4,332.48,46.17,286.77,4,1
KnolKhol,20.06,1040.41,46.73,5.52,263.94,66.01,247.32,7,0
Beetroot,16.08,1188.94,45.29,6.6,326.9,68.02,168.91,7,1
Potato,15.35,1146.89,49.39,6.34,364.35,74.17,267.8,6,1
Beans,21.88,1168.96,40.0,6.36,313.92,44.38,198.28,7,1
Turnip,34.04,1278.04,34.05,8.41,50.15,16.53,79.51,9,0
KnolKhol,16.01,1261.65,51.16,5.92,281.57,49.79,230.49,4,1
Radish,10.88,938.64,40.0,6.11,225.31,45.49,135.69,9,1
Beans,19.76,1404.3,61.87,6.15,336.51,59.77,165.35,4,1
Cauliflower,26.64,1932.46,86.38,7.67,132.92,19.38,89.3,2,0
Cabbage,16.27,1273.6,48.52,6.54,333.61,66.64,207.05,4,1
Radish,12.81,935.3,40.0,6.7,156.52,47.26,145.52,9,1
Turnip,11.15,1045.1,40.0,6.87,150.91,44.16,145.03,7,1
Beans,19.97,1098.09,40.0,6.25,293.6,50.45,215.41,7,1
Beetroot,15.37,947.27,40.0,6.2,244.43,49.32,241.11,8,1
Cabbage,22.58,1785.79,63.6,6.25,431.42,58.24,302.26,4,1
Potato,20.18,1472.99,53.74,5.33,346.17,70.98,275.19,2,1
Cabbage,21.52,1703.48,76.2,6.72,397.86,67.37,307.96,4,1
Potato,15.94,995.18,74.82,8.13,50.45,12.68,83.06,13,0
Cauliflower,15.17,979.89,40.0,5.86,466.48,73.16,208.13,7,1
KnolKhol,17.45,934.75,40.0,6.04,319.96,41.76,249.72,8,1
Carrot,16.31,944.89,40.0,6.29,206.22,43.21,191.34,8,1
Turnip,11.77,754.47,40.0,6.54,226.17,35.96,144.16,7,1
Cabbage,22.46,1223.35,50.65,6.28,427.66,75.86,205.98,5,1
Radish,17.23,1135.83,49.56,5.85,289.32,54.39,150.41,8,1
Cabbage,18.63,1020.35,49.9,7.36,463.11,82.55,303.3,7,1
Peas,11.15,823.44,40.0,6.08,270.75,68.13,125.88,6,1
Cauliflower,19.31,1243.72,47.65,5.83,423.27,73.15,332.1,6,1
Potato,11.92,1888.24,46.88,8.83,123.86,10.9,86.62,7,0
Cabbage,14.61,1279.67,49.31,6.25,362.1,85.28,269.85,4,1
Cauliflower,12.41,562.01,94.45,8.47,68.02,10.25,51.55,11,0
Turnip,13.05,991.96,40.0,6.99,150.56,50.58,178.01,5,1
Turnip,14.34,1156.35,41.74,6.25,298.26,49.6,175.0,8,1
Radish,11.23,690.41,40.0,6.22,264.2,52.52,151.5,7,1
Beetroot,18.96,959.29,40.0,6.15,310.72,65.98,189.48,8,1
Cauliflower,20.45,2291.36,31.96,8.41,93.79,14.66,92.68,14,0
KnolKhol,16.68,1351.41,56.15,5.77,337.16,50.44,202.44,4,1
KnolKhol,19.19,860.49,40.0,6.26,352.32,41.92,187.87,8,1
Beans,21.48,1340.71,53.91,6.15,219.94,37.99,159.81,5,1
Peas,16.46,1107.58,47.26,7.04,169.42,65.6,195.37,6,1
Carrot,17.14,1361.61,51.82,6.75,222.55,65.72,163.12,4,1
Cabbage,32.89,2217.72,91.39,8.29,100.82,14.49,98.82,7,0
Turnip,14.21,1110.28,40.0,6.94,295.39,40.29,133.66,6,1
Beans,15.01,1302.13,42.3,5.68,256.91,49.84,168.38,4,1
Potato,16.11,1702.89,59.89,5.91,279.87,61.37,151.81,2,1
KnolKhol,23.74,2155.15,51.07,8.27,112.1,16.97,90.16,12,0
Radish,14.73,739.34,40.0,6.51,291.51,34.21,159.24,9,1
Cauliflower,17.48,1305.75,61.95,5.88,439.58,58.42,201.91,6,0
Turnip,12.33,914.18,40.0,6.67,250.4,38.47,197.8,6,1
Potato,16.64,1526.71,69.78,5.61,267.3,69.49,209.34,2,0
KnolKhol,18.54,1253.78,43.32,5.55,252.1,55.97,162.35,4,1
Potato,14.93,1536.87,66.95,5.6,269.53,74.3,163.76,4,1
KnolKhol,18.23,1294.26,51.76,5.66,251.52,45.76,261.65,5,1
Peas,14.81,905.35,40.0,6.1,272.09,64.15,173.98,6,1
Potato,17.99,2495.47,45.06,8.34,108.24,12.32,93.78,5,0
Cauliflower,13.52,985.33,40.0,6.5,471.88,51.9,200.98,6,1
Cabbage,17.69,1052.53,40.94,7.49,477.46,59.02,324.81,8,1
Potato,20.92,2068.27,74.51,6.36,336.12,43.82,195.06,3,1
Cabbage,20.37,1521.73,51.79,7.27,366.6,54.49,212.02,3,1
Carrot,18.26,1565.15,53.3,6.6,331.85,67.63,221.96,4,1
Peas,17.62,960.99,40.0,6.54,151.86,46.8,193.23,6,1
Cauliflower,20.17,1255.34,57.05,6.02,423.67,62.86,212.37,5,1
Turnip,16.67,1049.16,40.51,6.21,280.67,50.82,188.99,5,1
Cauliflower,16.91,823.6,40.0,6.27,314.27,79.75,303.38,6,1
Cabbage,14.63,1237.63,44.02,6.3,492.86,73.38,335.41,4,1
Potato,18.73,1288.41,47.68,5.25,379.92,63.73,290.49,6,1
KnolKhol,13.9,979.22,40.0,6.43,288.57,72.0,217.12,6,1
Carrot,16.76,1398.84,55.92,6.44,329.46,49.85,216.83,5,1
Radish,12.96,901.44,41.8,5.77,160.81,58.09,184.3,7,1
Beans,18.48,1078.1,44.88,5.94,212.55,36.67,184.24,5,1
Turnip,14.05,971.3,40.0,6.78,223.86,47.97,137.04,5,1
Radish,14.11,1199.29,40.0,5.92,166.54,57.35,190.9,5,1
Radish,14.43,852.62,40.0,6.52,230.21,48.29,179.77,8,0
Turnip,16.57,1068.17,40.0,6.79,227.88,30.09,166.66,8,1
Peas,15.39,1071.46,40.46,6.86,257.32,48.46,103.39,6,1
Peas,20.4,743.05,60.32,8.63,95.8,16.97,72.57,6,0
Beetroot,20.57,1086.59,40.0,6.81,236.17,69.65,155.47,6,1
Cabbage,19.76,1626.56,68.14,6.55,405.79,68.23,273.69,5,1
Beans,20.26,1452.12,49.95,5.59,253.27,42.44,164.28,6,1
Carrot,17.59,1287.83,45.24,6.21,263.77,34.13,163.37,4,1
KnolKhol,20.05,916.44,40.44,5.82,384.59,58.71,209.86,5,1
Beans,16.61,1189.5,52.57,5.6,325.44,32.08,249.61,6,1
Potato,18.73,1628.73,65.2,5.39,356.66,41.11,237.08,5,1
Cabbage,19.7,972.59,40.0,6.16,425.79,88.56,236.62,8,0
KnolKhol,18.73,1096.29,40.0,6.25,265.13,65.77,289.36,7,1
Peas,13.27,1718.17,49.96,8.55,77.44,7.4,56.35,6,0
Potato,12.82,955.37,93.03,7.79,77.96,15.58,53.4,15,0
KnolKhol,17.01,901.38,40.0,6.03,343.38,63.27,288.41,7,1
Cabbage,25.79,1074.06,51.11,6.21,362.96,52.03,267.95,5,1
Cabbage,19.55,1225.53,48.54,6.91,326.73,52.02,206.72,5,0
Peas,17.4,1010.04,40.0,6.81,206.13,52.29,136.02,6,1
Cabbage,17.98,1652.14,68.62,6.11,414.56,89.34,279.39,2,1
Carrot,20.09,1376.37,63.64,6.49,286.81,54.05,170.29,5,1
Beetroot,19.64,755.33,40.12,6.39,270.69,39.94,219.12,9,1
Cauliflower,16.16,1133.87,55.04,6.56,390.16,57.87,224.99,4,1
Carrot,18.81,1444.67,64.53,6.08,213.12,46.24,210.97,4,0
Beetroot,17.16,784.92,40.0,6.69,211.17,54.32,181.05,6,1
Cauliflower,19.15,1480.91,66.94,6.11,397.6,62.22,255.12,5,1
Cauliflower,18.29,961.12,40.0,5.86,395.31,85.4,332.26,5,1
Cabbage,18.5,1230.23,56.63,7.25,446.81,58.83,207.04,7,1
Potato,15.13,1635.09,70.13,6.15,382.55,67.89,247.65,3,1
Cauliflower,17.97,1296.18,60.79,6.27,303.6,84.6,214.29,4,1
Beans,18.02,429.5,88.1,8.93,123.55,10.19,53.91,7,0
Potato,17.69,1477.6,64.71,5.59,346.92,60.33,281.88,5,0
Peas,16.31,912.88,40.1,6.36,298.05,48.55,145.03,9,1
Cauliflower,20.39,1348.44,56.66,6.6,365.85,79.13,208.28,4,1
KnolKhol,17.35,1087.47,52.24,6.08,372.03,77.71,175.24,4,1
Turnip,11.99,1995.92,43.61,8.23,78.93,7.31,67.97,11,0
Potato,18.58,1205.77,44.82,5.82,343.44,75.9,288.25,4,1
Beans,19.01,1239.26,41.27,6.04,322.76,59.92,249.45,5,1
Cauliflower,21.27,1456.24,55.96,5.88,410.27,65.47,293.25,5,1
Cabbage,20.28,1665.97,76.55,7.37,310.63,83.95,286.06,3,1
KnolKhol,19.49,1366.08,56.7,5.53,283.92,61.44,277.72,4,1
Cauliflower,19.52,1040.65,43.47,6.44,375.05,82.12,211.99,7,1
Peas,27.21,1717.29,49.55,7.6,129.46,13.13,96.5,5,0
Carrot,17.41,1088.9,45.68,6.47,245.51,34.96,162.28,4,1
Beans,18.1,1091.96,45.76,6.19,337.5,35.42,196.13,6,1
Cabbage,15.56,1158.54,44.27,6.84,462.27,74.04,219.39,7,1
KnolKhol,19.38,1093.9,40.0,6.37,306.63,69.77,190.05,8,1
KnolKhol,18.85,864.68,40.0,5.99,398.49,45.47,166.43,8,1
Beans,14.32,984.24,40.05,5.65,263.12,53.32,220.95,7,1
Cauliflower,18.36,995.45,40.0,5.77,353.54,58.39,214.57,7,0
Potato,19.9,1247.38,50.97,5.34,268.22,62.14,152.42,4,1
Potato,16.39,2010.0,74.89,5.42,328.89,70.92,292.31,1,1
Peas,13.79,922.44,41.09,7.07,244.48,76.03,182.96,8,1
Carrot,19.29,1145.42,52.07,6.7,321.8,53.62,224.19,5,1
Cabbage,26.78,794.73,94.13,7.79,51.95,10.13,87.96,15,0
Turnip,13.7,1035.69,50.13,6.54,207.9,43.71,144.56,7,1
Cabbage,17.95,1407.12,61.78,6.35,425.03,76.77,277.9,5,0
Peas,12.04,975.35,40.0,6.16,202.09,58.26,109.2,8,1
Cauliflower,21.35,1058.94,43.58,6.14,437.78,80.03,288.56,7,1
KnolKhol,20.01,1003.94,49.53,6.49,281.08,57.87,163.01,8,1
Radish,10.49,879.27,40.0,6.02,173.74,31.44,175.32,8,1
Peas,17.3,1219.69,54.63,6.32,164.32,49.07,112.48,7,1
Cauliflower,15.1,1220.16,46.39,6.57,436.99,76.56,333.75,4,1
Potato,27.52,2364.06,63.21,8.12,73.63,11.37,62.69,2,0
Cauliflower,21.95,1106.41,44.22,8.32,135.41,17.08,89.14,12,0
Cauliflower,21.24,1651.73,70.22,8.41,97.41,9.86,64.95,13,0
Potato,18.95,1826.96,71.71,6.33,333.37,58.33,290.03,1,1
KnolKhol,14.4,1023.2,43.41,5.55,345.45,50.89,289.71,5,1
KnolKhol,27.48,2316.63,79.17,8.82,60.38,14.89,69.47,13,0
Cabbage,19.29,1346.94,46.6,6.08,404.06,69.26,242.32,3,0
Beetroot,20.17,1133.41,45.1,6.38,306.54,66.56,236.52,7,1
Carrot,16.47,1452.48,56.35,6.6,204.83,33.05,166.15,3,1
Turnip,14.42,1047.19,40.0,6.05,263.59,31.98,196.77,8,1
Beans,14.68,709.55,60.81,8.64,82.76,8.23,58.67,6,0
Beetroot,16.97,891.78,40.0,6.85,292.32,60.23,163.66,5,1
Beans,18.14,1429.99,65.79,5.58,249.17,33.18,194.71,5,1
Cauliflower,20.39,1002.2,40.0,5.83,482.17,85.47,285.95,6,0
Beetroot,13.69,924.69,40.94,6.08,245.92,38.18,207.27,7,1
Radish,13.34,2051.59,37.52,8.9,104.17,18.04,94.71,5,0
Cauliflower,19.5,1168.69,40.0,6.12,424.85,60.61,280.33,6,1
Turnip,13.71,1045.06,40.0,6.1,171.47,43.95,175.79,7,1
Beans,20.65,1061.26,41.75,6.08,341.0,58.34,201.0,6,1
Peas,27.0,2465.8,89.59,8.8,60.92,13.01,67.1,3,0
Peas,16.81,947.65,40.0,6.47,177.94,73.52,161.61,6,0
KnolKhol,16.27,1165.77,49.65,5.8,305.77,49.1,194.94,7,1
Beetroot,15.05,1039.29,40.03,6.71,329.52,35.51,191.29,6,0
Cabbage,21.12,1590.49,64.38,7.03,448.93,82.9,309.34,2,1
KnolKhol,16.38,897.96,40.0,6.6,316.12,68.76,287.24,5,1
Peas,17.28,1023.43,36.07,7.89,124.29,17.1,55.19,14,0
Beetroot,16.57,1166.47,46.4,6.67,327.03,37.08,234.48,4,1
Potato,33.9,1597.99,77.04,7.8,50.1,7.45,63.61,4,0
Cabbage,15.62,918.06,40.0,6.72,313.09,74.12,263.97,6,1
KnolKhol,17.06,1184.5,41.86,5.6,387.92,76.55,195.42,4,1
Beans,17.84,1088.45,40.0,6.4,233.16,49.17,249.6,6,1
Beans,17.72,1372.23,46.41,6.28,220.16,58.14,197.02,5,1
Radish,11.22,1105.77,40.0,6.39,210.78,32.23,128.26,5,1
Cauliflower,17.49,1215.58,53.43,5.68,437.44,51.42,274.93,4,1
Cauliflower,14.57,1030.22,40.0,5.53,486.71,67.78,233.75,5,1
Carrot,17.61,2212.5,56.41,8.76,145.2,8.36,71.98,13,0
Cabbage,12.22,1309.5,74.39,7.89,119.35,17.02,59.5,6,0
Beetroot,17.42,970.71,40.44,6.86,250.52,44.55,166.57,8,1
Radish,8.75,366.29,41.01,7.83,79.19,8.13,73.41,8,0
Potato,15.46,1851.05,73.02,5.45,391.14,65.15,156.13,1,1
KnolKhol,19.28,822.03,40.0,5.8,297.06,65.59,224.06,9,1
KnolKhol,33.56,1679.09,54.59,7.51,149.51,15.84,91.27,2,0
Carrot,14.16,1311.78,46.39,6.23,204.14,63.35,213.71,6,1
Potato,20.15,1823.75,70.58,5.05,371.03,61.96,298.49,1,1
Turnip,11.07,751.95,40.0,6.06,207.18,54.62,178.54,7,1
Beetroot,19.4,1080.35,45.68,6.41,348.79,33.57,187.42,5,1
Peas,24.4,387.82,67.44,8.06,89.02,18.24,92.12,14,0
KnolKhol,19.45,1093.45,42.25,5.94,251.25,74.09,294.52,8,1
KnolKhol,14.59,922.26,40.0,6.65,298.33,45.73,182.61,7,1
Turnip,11.84,943.72,40.0,6.11,150.36,31.2,158.41,7,0
Radish,14.75,926.12,41.56,6.7,151.23,35.54,133.53,5,1
Cabbage,17.22,254.01,42.58,7.8,149.08,14.72,94.75,10,0
Carrot,13.79,955.03,40.0,6.42,238.05,67.77,240.86,7,1
Carrot,17.35,1099.2,53.33,6.56,318.92,36.95,208.28,7,1
Cabbage,22.98,1222.04,57.85,6.27,397.74,65.31,267.14,6,1
Potato,19.64,1933.48,74.28,5.57,266.11,72.93,254.12,1,1
Cauliflower,19.69,1125.72,50.29,6.01,497.92,65.49,236.29,6,1
Cabbage,23.85,1362.32,61.84,7.21,477.4,72.86,263.68,6,1
Radish,10.46,835.52,40.0,6.26,217.25,40.28,130.44,8,1
Turnip,21.0,672.3,38.22,7.91,89.34,14.09,77.16,11,0
Potato,18.17,1783.51,77.78,5.85,307.22,66.31,155.39,3,0
KnolKhol,16.33,891.53,42.32,5.53,326.0,49.5,168.19,8,1
Turnip,13.36,1633.22,59.06,8.9,107.74,16.41,53.23,3,0
Turnip,9.8,764.01,40.0,6.89,153.68,58.05,148.5,9,1
Beans,16.08,1013.86,45.51,5.59,233.07,46.49,225.59,7,1
Potato,10.56,1744.93,87.65,7.91,143.58,13.92,80.29,11,0
Cauliflower,14.94,1347.72,45.18,6.34,314.67,52.42,203.53,5,1
Turnip,10.85,838.84,40.0,6.67,231.76,56.52,124.06,8,1
Peas,14.51,1119.95,45.15,6.59,201.17,56.54,121.77,6,1
Cauliflower,14.35,1128.8,40.0,6.54,322.84,54.97,338.38,4,1
Potato,28.87,502.4,50.95,7.71,142.27,9.22,86.56,11,0
Beetroot,10.73,1042.38,61.24,7.73,82.37,15.73,63.19,5,0
Cauliflower,22.67,882.22,41.8,5.93,309.15,53.24,203.9,6,1
Carrot,15.09,1011.44,43.61,6.41,288.43,59.43,207.52,8,1
Carrot,16.52,965.29,40.7,6.39,324.22,67.27,206.42,6,1
Carrot,19.91,850.27,40.0,6.5,324.52,46.12,164.83,6,1
Radish,12.06,728.52,40.0,6.06,291.89,36.64,178.52,10,1
Carrot,15.78,1324.9,50.75,6.65,274.38,51.57,194.42,6,1
Carrot,18.47,873.48,40.0,6.63,207.92,51.85,235.95,6,1
Carrot,18.92,797.58,40.0,6.98,222.03,39.18,231.82,9,1
Cauliflower,17.17,1111.82,43.04,5.75,488.89,58.52,313.14,7,1
Beans,19.4,1379.43,50.96,6.04,237.87,49.22,153.37,4,1
Carrot,18.85,1364.22,62.48,6.22,243.96,51.31,220.29,5,1
Peas,13.82,1091.42,40.0,6.87,293.53,62.66,112.49,6,1
KnolKhol,18.55,984.59,48.2,6.17,368.02,54.99,199.56,7,1
Potato,17.66,1519.43,67.66,6.27,394.06,50.93,261.17,6,1
Cabbage,22.17,1290.3,46.2,6.61,471.44,82.31,344.03,7,1
Beetroot,20.28,641.92,40.0,6.43,314.38,48.98,165.8,9,1
Potato,15.98,1231.09,52.85,6.0,299.28,40.09,150.55,4,1
Potato,14.31,1356.39,49.64,5.64,286.67,51.46,215.16,3,1
Peas,7.93,2228.86,73.41,8.19,85.53,12.46,70.36,8,0
Carrot,16.79,1138.25,53.3,6.53,231.82,54.55,182.78,7,1
Cauliflower,19.76,1266.04,40.66,6.23,362.11,70.66,288.46,4,1
Peas,16.85,1082.84,52.11,7.26,204.4,55.51,103.09,8,0
Beans,19.04,1386.57,47.38,6.49,295.38,58.45,195.34,4,1
Peas,14.69,1140.07,40.0,6.87,155.69,45.12,155.69,5,0
Carrot,18.25,926.47,40.0,6.53,332.12,48.17,229.89,8,1
Carrot,15.42,1289.52,48.14,6.63,344.55,55.26,182.71,6,1
Turnip,13.37,682.32,40.0,6.98,269.66,59.22,122.56,6,1
Cabbage,8.81,391.2,42.01,8.73,137.46,11.07,98.75,9,0
Cauliflower,17.89,1051.44,40.0,6.24,304.51,52.99,280.48,5,1
Turnip,10.18,899.26,40.0,6.68,165.86,55.56,194.99,7,1
Cabbage,26.1,1380.55,49.75,6.38,371.45,74.27,221.99,3,1
Radish,32.61,1614.99,63.26,8.85,119.1,7.86,66.97,8,0
Beans,14.98,1397.98,65.81,5.73,237.05,46.47,163.39,6,1
Carrot,20.4,1369.13,52.12,6.77,299.57,38.28,243.17,4,1
Turnip,13.35,1096.62,40.0,6.21,209.37,59.98,148.35,8,1
KnolKhol,19.47,1176.09,47.24,6.17,309.34,65.39,220.61,7,0
Peas,13.09,1045.34,40.0,6.67,232.39,76.62,195.24,7,1
Turnip,9.21,852.17,40.0,6.76,177.85,36.39,146.83,7,1
Potato,18.92,1175.1,48.7,6.25,354.28,65.97,212.0,4,1
Carrot,19.84,924.7,40.0,6.81,246.26,54.13,182.65,8,1
Potato,18.37,2176.43,33.96,8.93,147.77,17.49,85.44,14,0
Cabbage,19.74,1630.36,64.18,7.42,331.26,70.39,248.29,1,1
Beans,19.02,1161.48,43.64,5.86,257.96,42.47,247.46,4,1
Peas,16.92,881.81,40.0,6.35,205.83,76.97,111.52,8,1
Radish,13.94,717.89,40.0,5.65,233.97,48.19,167.69,10,1
Cabbage,14.25,1213.5,55.78,7.01,448.04,53.79,214.11,5,1
Turnip,10.6,1104.6,42.72,6.88,186.6,47.88,197.47,6,1
Radish,28.18,771.34,75.23,8.6,136.25,18.48,78.94,1,0
Beans,19.15,1432.84,49.48,6.42,281.07,55.81,212.93,4,0
Cauliflower,22.65,971.35,40.0,6.04,360.35,75.2,240.97,6,1
Cabbage,25.46,1667.56,61.49,7.37,312.35,87.71,315.28,3,1
Cabbage,31.9,1962.2,44.19,8.96,104.75,16.06,83.15,7,0
KnolKhol,16.51,991.01,40.0,6.07,342.65,53.66,164.95,8,1
Turnip,12.1,873.97,40.0,6.87,293.46,35.31,157.82,8,1
Cauliflower,14.75,1237.02,49.08,6.24,432.39,63.81,225.8,7,1
Carrot,18.45,1073.04,48.44,6.61,348.08,55.18,219.98,5,1
Cauliflower,17.7,1248.24,46.21,6.49,312.89,70.7,240.12,5,1
Potato,15.45,1400.6,60.87,6.26,375.33,75.06,263.27,5,1
Peas,16.87,886.68,40.0,6.97,190.85,57.88,156.39,7,1
Cauliflower,31.48,1540.02,74.43,8.79,97.05,5.51,88.99,11,0
Peas,15.57,1156.33,44.88,7.12,253.15,72.96,176.61,4,1
Carrot,16.94,1359.17,57.0,6.33,257.88,39.13,179.67,6,1
Cabbage,16.35,1177.16,51.05,7.4,357.09,77.96,208.66,5,1
Beetroot,18.21,1193.22,56.57,6.6,201.17,67.15,178.81,4,1
Potato,19.58,1372.4,54.97,5.32,321.73,46.62,244.77,5,1
Cauliflower,16.2,932.42,40.0,5.59,442.35,55.32,332.21,7,1
Cabbage,19.25,1197.92,55.43,6.47,340.45,58.79,290.51,7,1
Radish,16.92,1105.39,51.59,6.19,213.5,44.78,149.0,5,1
Potato,18.77,1777.5,63.59,6.11,386.08,43.43,200.77,4,1
Radish,12.45,680.49,40.0,6.06,271.29,43.8,197.06,6,1
Potato,18.52,1923.86,79.36,5.13,287.77,51.77,162.26,1,1
Beans,15.8,1020.28,40.0,6.3,202.91,40.53,206.64,8,1
Cauliflower,19.87,1315.67,61.42,6.24,391.7,51.5,244.17,5,1
Turnip,14.12,1221.05,49.8,6.41,199.65,37.19,167.43,6,1
Cauliflower,16.07,2316.03,74.83,7.77,105.72,7.01,89.74,1,0
KnolKhol,17.59,742.8,40.0,6.26,302.03,69.57,260.87,9,1
Radish,13.44,769.58,40.0,5.97,290.67,58.62,145.73,7,0
KnolKhol,29.51,2395.9,60.97,8.44,71.82,10.08,71.71,11,0
Turnip,11.37,1077.84,44.89,6.88,248.55,34.7,171.9,6,1
Beetroot,17.82,1166.38,45.82,6.38,211.93,60.27,161.22,5,1
Cauliflower,21.79,907.34,43.82,6.34,367.49,55.46,285.55,9,1
Beans,20.91,1020.7,48.08,5.55,200.91,48.72,228.01,7,1
Turnip,10.22,1135.05,40.0,6.38,185.24,37.47,197.01,4,1
Beetroot,14.29,965.5,40.89,6.6,332.65,43.9,222.66,5,1
Beans,14.47,1339.25,62.71,5.92,244.44,45.77,206.5,6,1
Cauliflower,32.09,2393.84,61.37,8.98,126.56,14.14,74.92,9,0
Beetroot,19.22,847.75,40.0,6.95,302.54,37.6,196.94,6,0
Carrot,16.08,1257.04,45.49,6.41,329.92,54.11,153.6,4,1
Beans,16.73,1224.66,47.23,6.0,278.73,43.61,241.28,6,1
Beans,19.0,1241.63,40.07,5.9,248.29,42.39,193.94,5,0
Beetroot,18.62,986.7,40.0,6.89,209.55,51.89,199.31,8,1
Radish,12.19,777.59,40.0,6.22,198.73,59.85,171.45,8,1
Radish,12.99,1049.37,40.0,6.33,298.31,40.97,159.55,8,1
Beans,16.46,920.4,40.0,6.21,265.02,37.22,197.87,5,1
KnolKhol,17.33,923.35,41.14,6.16,286.17,78.91,174.23,6,1
Beetroot,16.15,794.47,40.79,6.4,324.27,55.44,220.27,6,1
Peas,14.55,1026.14,40.0,6.35,168.95,44.25,182.25,6,1
Radish,30.68,398.91,81.32,8.97,63.25,8.71,56.68,14,0
Peas,15.02,757.64,40.0,7.46,231.54,61.51,126.73,6,1
Radish,11.32,863.04,40.0,6.54,247.02,49.76,160.67,9,1
Cauliflower,16.5,1447.8,50.2,5.99,336.48,71.12,305.58,3,1
Beetroot,16.25,986.05,40.0,6.15,232.78,55.75,199.36,5,1
Cabbage,26.04,1782.29,56.84,7.57,115.41,9.35,67.07,5,0
Beetroot,19.66,922.08,40.0,6.76,230.07,65.7,234.03,6,1
Radish,10.38,996.56,42.43,5.85,218.04,53.55,157.74,7,1
Turnip,16.06,658.61,40.0,6.1,229.9,42.7,173.97,10,1
Peas,16.52,1137.38,53.46,6.26,289.86,76.28,166.17,7,1
Turnip,16.29,908.54,41.35,6.8,235.86,40.7,188.14,7,1
Peas,15.46,942.16,40.0,6.9,244.22,76.97,159.58,6,1
Beetroot,28.02,1592.69,35.62,8.37,56.37,16.33,74.54,5,0
KnolKhol,19.54,1061.26,52.05,6.59,274.69,65.67,167.05,7,1
Carrot,16.38,1112.96,40.59,6.43,224.99,56.65,214.8,4,1
Cauliflower,20.77,1426.79,58.3,5.93,340.5,62.85,320.27,6,1
Beans,17.32,1239.89,56.21,6.41,250.31,40.23,197.07,4,1
Turnip,13.16,824.93,40.0,6.61,230.75,30.22,140.87,8,1
Turnip,12.68,892.31,40.0,6.12,246.08,44.96,169.75,7,1
Cabbage,32.17,825.28,54.01,8.16,148.54,5.65,56.18,2,0
